Slice,Count,Total Area,Average Size,%Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
516,193,8562,44.36269,2.09033,21.40664,7.96851,5.05596,64.83984,8.61825,299.44560,314.45596,89.83418,5.47083
517,185,8304,44.88649,2.02734,21.60634,8.04399,5.12140,64.88199,8.69434,301.79459,318.70270,89.78131,5.53852
518,173,7989,46.17919,1.95044,21.95420,8.10426,5.25964,65.43161,8.79347,309.78035,312.20231,86.55923,5.71210
519,162,7722,47.66667,1.88525,22.66260,8.38576,5.35998,65.21167,9.05068,300.53086,332.48765,82.18215,5.82114
520,159,7656,48.15094,1.86914,22.86200,8.47166,5.38580,60.82801,9.14041,304.12579,335.99371,84.99400,5.80054
521,159,7623,47.94340,1.86108,22.97536,8.50714,5.35939,65.48215,9.20348,290.16981,332.31447,84.79176,5.88108
522,165,7791,47.21818,1.90210,22.82177,8.41301,5.35883,63.93922,9.12434,299.23030,341.09697,85.40097,5.87690
523,166,7925,47.74096,1.93481,23.03137,8.53621,5.34008,69.21667,9.23729,296.54819,328.04819,87.95897,5.83678
524,168,8157,48.55357,1.99146,23.13430,8.57766,5.35505,70.79675,9.24935,305.00595,319.50595,93.36648,5.85561
525,167,8430,50.47904,2.05811,23.92088,8.89470,5.42817,68.89958,9.55072,306.09581,324.59880,92.08277,5.93174
526,172,8388,48.76744,2.04785,23.21846,8.67910,5.35709,64.37535,9.32754,310.88372,329.59884,86.86862,5.84778
527,175,8397,47.98286,2.05005,22.99027,8.54424,5.37203,61.33777,9.17507,302.75429,332.73143,88.00969,5.84612
528,174,8292,47.65517,2.02441,22.82398,8.50377,5.19982,64.93548,9.17076,307.16092,320.13218,90.32650,5.69999
529,168,7920,47.14286,1.93359,22.82657,8.59002,5.06672,65.78946,9.21793,317.90476,327.62500,92.95469,5.57572
530,165,7620,46.18182,1.86035,22.69747,8.48858,5.16536,64.14864,9.18491,318.84242,328.11515,89.66125,5.65917
531,154,7389,47.98052,1.80396,23.54118,8.71425,5.46757,67.52243,9.46387,311.55844,323.00000,90.35478,5.99160
532,166,7285,43.88554,1.77856,21.97390,8.26461,5.13685,66.93732,8.90688,308.77108,332.91566,91.04573,5.59216
533,169,7328,43.36095,1.78906,22.16673,8.29575,5.06874,67.37334,8.93730,295.97633,304.00000,90.81972,5.55662
534,175,7501,42.86286,1.83130,22.24727,8.35124,5.08034,63.65084,8.98534,290.19429,301.72571,86.16561,5.60976
535,181,7703,42.55801,1.88062,22.02067,8.33264,5.01043,62.83382,8.92639,299.32597,309.71271,89.28653,5.48297
536,186,7734,41.58065,1.88818,21.85711,8.26023,5.08018,65.86725,8.89653,287.22043,308.55376,84.79872,5.52115
537,191,7678,40.19895,1.87451,21.19998,8.01215,4.93177,65.60590,8.63365,289.90052,314.61780,89.29497,5.33534
538,186,8511,45.75806,2.07788,23.02820,8.69242,5.21964,58.77583,9.34299,271.54839,312.42473,86.07268,5.74636
539,186,8557,46.00538,2.08911,22.95401,8.61919,5.32261,64.07409,9.29153,280.10215,316.73118,83.80018,5.81744
540,180,8647,48.03889,2.11108,23.75067,8.86548,5.36499,63.80210,9.53701,275.34444,308.05000,85.72833,5.84124
541,176,8683,49.33523,2.11987,24.02163,8.99382,5.40004,63.88724,9.66615,272.36932,309.47159,86.60944,5.93794
542,170,8536,50.21176,2.08398,24.27965,9.19357,5.42939,59.86303,9.85641,267.71176,310.10588,83.38682,5.94920
543,171,8515,49.79532,2.07886,23.94651,9.07185,5.34274,62.59517,9.72156,281.58480,309.56725,87.25285,5.89941
544,167,8450,50.59880,2.06299,24.11144,8.95769,5.39663,59.33703,9.68168,278.32934,321.36527,87.55461,5.95559
545,159,8368,52.62893,2.04297,24.51547,9.17397,5.58742,68.81508,9.84079,279.72327,308.69182,86.23625,6.14760
546,165,8205,49.72727,2.00317,23.64824,8.79342,5.31393,68.50384,9.50469,280.63636,314.61818,94.08171,5.82008
547,170,7991,47.00588,1.95093,22.60011,8.30915,5.16068,65.03218,9.06657,288.86471,322.38235,92.17709,5.63382
548,170,8139,47.87647,1.98706,23.01118,8.64156,5.15862,68.47349,9.32654,281.86471,306.38235,87.85737,5.64280
549,176,8181,46.48295,1.99731,22.71192,8.49580,5.14182,62.60444,9.21793,296.91477,322.14205,88.54284,5.63532
550,185,8389,45.34595,2.04810,22.29904,8.33679,4.95733,61.95184,9.00227,297.81622,325.68649,85.04559,5.49245
551,184,8613,46.80978,2.10278,23.01850,8.57317,5.06201,63.46154,9.27700,289.80978,322.72283,89.78907,5.61669
552,192,8686,45.23958,2.12061,22.42790,8.43058,5.07380,62.59133,9.03148,294.48438,303.65104,91.28274,5.55772
553,201,8772,43.64179,2.14160,21.87155,8.22531,5.04553,64.70115,8.85158,301.26866,301.83582,90.54153,5.53112
554,201,8767,43.61692,2.14038,21.99970,8.24569,5.09094,64.51276,8.88828,303.66667,318.00000,93.32448,5.53736
555,186,8581,46.13441,2.09497,22.94457,8.59870,5.27616,64.56508,9.28239,302.88710,330.13978,87.87290,5.77464
556,182,8547,46.96154,2.08667,23.49459,8.80740,5.35073,69.20266,9.51190,304.83516,325.70879,87.70203,5.90512
557,185,8254,44.61622,2.01514,22.89431,8.55496,5.22481,66.53192,9.22777,298.30811,320.80541,87.36911,5.74520
558,209,8829,42.24402,2.15552,21.71070,8.24284,5.08151,63.71575,8.85143,303.66986,307.16746,94.25966,5.48835
559,200,8945,44.72500,2.18384,22.67434,8.57813,5.20762,69.12589,9.19021,314.08500,307.07500,87.36832,5.65774
560,201,9216,45.85075,2.25000,23.09676,8.63122,5.23509,64.98776,9.32145,308.47761,308.03483,85.51056,5.69950
561,203,9811,48.33005,2.39526,23.77713,8.83478,5.39887,62.86613,9.56650,304.15271,305.23153,86.67379,5.92595
562,199,9988,50.19095,2.43848,24.33050,8.93949,5.38847,61.80966,9.70508,302.54271,294.71859,84.75265,5.96842
563,192,9954,51.84375,2.43018,24.11112,8.83535,5.35417,68.65291,9.58222,301.11979,305.60938,90.09055,5.92025
564,189,10034,53.08995,2.44971,24.32975,8.90060,5.35097,65.01458,9.67031,313.43915,295.65608,90.88371,5.92962
565,189,10328,54.64550,2.52148,24.70110,8.93306,5.43946,63.45071,9.70646,316.09524,299.48677,92.05215,6.06793
566,188,10162,54.05319,2.48096,24.45467,8.90060,5.43261,65.02253,9.67376,321.22872,316.50000,88.12296,5.97264
567,186,10507,56.48925,2.56519,24.82677,9.10195,5.59844,61.46569,9.82106,316.64516,305.25806,88.05625,6.15385
568,191,10780,56.43979,2.63184,24.94331,9.13125,5.56526,65.07757,9.89888,336.96859,301.59686,88.01928,6.14230
569,195,11229,57.58462,2.74146,25.28357,9.24218,5.68791,69.28011,10.00819,324.75385,298.42564,90.83381,6.26680
570,205,11388,55.55122,2.78027,24.30588,8.82097,5.65832,66.09634,9.53903,316.99512,295.07805,92.49321,6.19427
571,201,11710,58.25871,2.85889,25.02044,9.12793,5.81615,77.48990,9.83640,322.22886,303.62189,93.53994,6.36648
572,210,12296,58.55238,3.00195,25.27014,9.30848,5.62201,71.91891,10.00453,297.98095,300.68571,96.30571,6.15638
573,202,12084,59.82178,2.95020,25.88108,9.44589,5.60260,68.24481,10.18129,306.15347,299.51980,91.04678,6.18401
574,189,11440,60.52910,2.79297,26.36167,9.74668,5.53582,64.77457,10.52809,304.15873,303.91005,93.11748,6.20125
575,187,11173,59.74866,2.72778,25.99009,9.26687,5.49609,62.80792,10.10718,298.68984,302.88770,90.00926,6.14676
576,191,11114,58.18848,2.71338,25.03383,8.85117,5.38803,66.77557,9.70064,286.32461,303.29843,92.54148,6.01183
577,195,11241,57.64615,2.74438,24.52186,8.87476,5.36105,61.60707,9.61662,285.84615,301.09744,86.65561,5.94463
578,198,11133,56.22727,2.71802,24.56479,9.09365,5.29952,62.63228,9.80733,290.34343,299.50505,86.02255,5.87286
579,204,10875,53.30882,2.65503,24.10532,8.88637,5.14106,57.52201,9.62676,285.12255,296.90686,84.32997,5.75494
580,207,10571,51.06763,2.58081,23.82234,8.80546,5.18394,62.47067,9.57013,294.80193,316.77295,82.22537,5.79200
581,206,10830,52.57282,2.64404,24.17778,8.91133,5.24984,60.24359,9.66711,298.20388,316.68932,88.58430,5.87542
582,188,10657,56.68617,2.60181,25.36529,9.43268,5.52115,63.19542,10.17015,303.99468,303.02128,84.06387,6.17174
583,195,10682,54.77949,2.60791,24.74608,9.11121,5.33889,59.90607,9.89541,307.52821,307.78462,83.06648,5.99718
584,193,11036,57.18135,2.69434,25.54935,9.52825,5.50827,62.30274,10.26690,322.32124,304.88083,85.07517,6.16832
585,200,11148,55.74000,2.72168,25.25412,9.42954,5.45157,59.27259,10.14396,315.93500,303.98500,83.22421,6.05408
586,190,11303,59.48947,2.75952,26.40720,9.83139,5.68637,62.30977,10.57045,301.91579,300.60000,83.34466,6.29507
587,203,10935,53.86700,2.66968,24.15869,9.13950,5.41033,59.23137,9.80610,300.41872,302.69458,82.66816,5.89664
588,194,10453,53.88144,2.55200,24.41917,9.04417,5.43996,62.96648,9.78246,294.51546,306.18041,86.99127,6.02299
589,206,10056,48.81553,2.45508,23.09556,8.65928,5.15162,70.15735,9.35705,306.28155,306.34951,89.68103,5.66488
590,204,9784,47.96078,2.38867,23.01787,8.56075,5.18944,68.72905,9.30620,298.79412,300.50490,88.77656,5.70442
591,214,9757,45.59346,2.38208,22.15467,8.26898,5.06240,65.66004,8.98212,296.64953,299.46262,84.89434,5.56794
592,196,9053,46.18878,2.21021,22.41558,8.28686,5.20801,58.84161,8.98108,305.43878,292.11224,88.41570,5.68433
593,199,8688,43.65829,2.12109,21.51463,8.00013,5.07671,60.25082,8.65170,302.13568,304.54271,88.80222,5.52247
594,195,8943,45.86154,2.18335,22.22593,8.31659,5.08836,62.90833,8.95053,300.50256,304.82051,87.51089,5.59736
