aux_Image_filename,Image_file,Id1,Id2,Sample,Threshold,Slice,%Area,K(m2),Keq(m2),Delta P(Pa),Count,Total Area,Average Size,Perimeter,Knorm,Direction
am5_c1_final-1198.tif,am5_c1_final-1198,am5_c1_s1198,1198,5,1,1198,4.28003,1.00E-15,1.08E-15,6894.76,313,17531,56.00958,25.16067,1.0782,X
am5_c1_final-1199.tif,am5_c1_final-1199,am5_c1_s1199,1199,5,1,1199,4.16138,1.00E-15,1.08E-15,6894.76,297,17045,57.39057,25.90241,1.07684,X
am5_c1_final-1200.tif,am5_c1_final-1200,am5_c1_s1200,1200,5,1,1200,4.0686,1.00E-15,1.08E-15,6894.76,282,16665,59.09574,26.25445,1.07628,X
am5_c1_final-1201.tif,am5_c1_final-1201,am5_c1_s1201,1201,5,1,1201,4.1062,1.00E-15,1.08E-15,6894.76,294,16819,57.20748,25.52744,1.07738,X
am5_c1_final-1202.tif,am5_c1_final-1202,am5_c1_s1202,1202,5,1,1202,4.00488,1.00E-15,1.07E-15,6894.76,299,16404,54.86288,24.50449,1.06894,X
am5_c1_final-1203.tif,am5_c1_final-1203,am5_c1_s1203,1203,5,1,1203,4.00732,1.00E-15,1.07E-15,6894.76,280,16414,58.62143,25.93535,1.07135,X
am5_c1_final-1204.tif,am5_c1_final-1204,am5_c1_s1204,1204,5,1,1204,3.97266,1.00E-15,1.07E-15,6894.76,289,16272,56.3045,24.87341,1.07012,X
am5_c1_final-1205.tif,am5_c1_final-1205,am5_c1_s1205,1205,5,1,1205,3.95264,1.00E-15,1.07E-15,6894.76,280,16190,57.82143,25.79701,1.06981,X
am5_c1_final-1206.tif,am5_c1_final-1206,am5_c1_s1206,1206,5,1,1206,3.92432,1.00E-15,1.07E-15,6894.76,297,16074,54.12121,24.79596,1.06987,X
am5_c1_final-1207.tif,am5_c1_final-1207,am5_c1_s1207,1207,5,1,1207,3.90552,1.00E-15,1.07E-15,6894.76,290,15997,55.16207,25.30837,1.068,X
am5_c1_final-1208.tif,am5_c1_final-1208,am5_c1_s1208,1208,5,1,1208,3.86621,1.00E-15,1.07E-15,6894.76,307,15836,51.58306,24.18984,1.06721,X
am5_c1_final-1209.tif,am5_c1_final-1209,am5_c1_s1209,1209,5,1,1209,3.81787,1.00E-15,1.06E-15,6894.76,315,15638,49.64444,23.76291,1.06318,X
am5_c1_final-1210.tif,am5_c1_final-1210,am5_c1_s1210,1210,5,1,1210,3.92407,1.00E-15,1.06E-15,6894.76,317,16073,50.70347,24.17369,1.06324,X
am5_c1_final-1211.tif,am5_c1_final-1211,am5_c1_s1211,1211,5,1,1211,3.8833,1.00E-15,1.06E-15,6894.76,318,15906,50.01887,24.1173,1.06278,X
am5_c1_final-1212.tif,am5_c1_final-1212,am5_c1_s1212,1212,5,1,1212,3.88794,1.00E-15,1.06E-15,6894.76,321,15925,49.61059,23.87378,1.06302,X
am5_c1_final-1213.tif,am5_c1_final-1213,am5_c1_s1213,1213,5,1,1213,4.0498,1.00E-15,1.07E-15,6894.76,304,16588,54.56579,25.3408,1.06869,X
am5_c1_final-1214.tif,am5_c1_final-1214,am5_c1_s1214,1214,5,1,1214,4.13232,1.00E-15,1.07E-15,6894.76,304,16926,55.67763,25.86455,1.06732,X
am5_c1_final-1215.tif,am5_c1_final-1215,am5_c1_s1215,1215,5,1,1215,4.11401,1.00E-15,1.07E-15,6894.76,319,16851,52.82445,24.70396,1.06703,X
am5_c1_final-1216.tif,am5_c1_final-1216,am5_c1_s1216,1216,5,1,1216,4.18384,1.00E-15,1.07E-15,6894.76,332,17137,51.61747,24.14173,1.06793,X
am5_c1_final-1217.tif,am5_c1_final-1217,am5_c1_s1217,1217,5,1,1217,4.00977,1.00E-15,1.07E-15,6894.76,312,16424,52.64103,24.31264,1.06514,X
am5_c1_final-1218.tif,am5_c1_final-1218,am5_c1_s1218,1218,5,1,1218,4.05322,1.00E-15,1.06E-15,6894.76,297,16602,55.89899,25.52046,1.06458,X
am5_c1_final-1219.tif,am5_c1_final-1219,am5_c1_s1219,1219,5,1,1219,4.22949,1.00E-15,1.07E-15,6894.76,299,17324,57.9398,26.29253,1.07059,X
am5_c1_final-1220.tif,am5_c1_final-1220,am5_c1_s1220,1220,5,1,1220,4.09106,1.00E-15,1.07E-15,6894.76,293,16757,57.19113,25.89631,1.06788,X
am5_c1_final-1221.tif,am5_c1_final-1221,am5_c1_s1221,1221,5,1,1221,4.271,1.00E-15,1.07E-15,6894.76,312,17494,56.07051,25.35735,1.07309,X
